,o0,o1,o2,o3,o4,o5,o6,o7,o8
H0,-2185.0,1323.0,187.0,1278.0,1235.0,-391.0,1651.0,-2054.0,-1944.0
H1,-655.0,1052.0,-10.0,680.0,-1042.0,-63.0,-571.0,-618.0,328.0
H2,260.0,-346.0,-127.0,306.0,-144.0,-1189.0,245.0,162.0,-67.0
H3,-8101.0,-10011.0,-78.0,6475.0,-9798.0,5048.0,3644.0,4477.0,9243.0
H4,48.0,-51.0,-136.0,-422.0,-115.0,31.0,-143.0,-81.0,-30.0
H5,-1108.0,-912.0,223.0,855.0,1466.0,517.0,-1334.0,1393.0,-2001.0
